ID,Маршрут,Этап,Компетенция,Название,Результат,Практика,Проверка,Источник материалов,Действие в Космосе,Кто сопровождает,Критичность,Публичность,Статус,Комментарий
TMD-0001,TLP-0001,TST-0001,TCP-0001,Реалистичное знакомство с профессией,Кандидат понимает обязанности модель дохода и зависимость результата от действий,Разобрать один типичный месяц новичка и задать вопросы,Кандидат своими словами называет возможности риски и личную ответственность,TMR-0001; TMR-0007; TMR-0012,Не применяется,Руководитель или рекрутер,Высокая,PUBLIC_METADATA,CHECK,Не обещать гарантированный доход
TMD-0002,TLP-0001,TST-0001,TCP-0001,Локальное EVP Борисоглебска,Кандидат понимает реальные преимущества именно офиса Борисоглебска,Выбрать три преимущества под мотив кандидата и подтвердить фактами,Каждое обещание имеет ограничение источник и дату проверки,TMR-0001; TMR-0002; TMR-0003,Не применяется,Руководитель,Высокая,PRIVATE,CHECK,Федеральные преимущества отделять от локальных
TMD-0003,TLP-0001,TST-0002,TCP-0002,Безопасный preboarding,Принятый кандидат знает правила подготовки и конфиденциальности,Пройти короткий чек-лист до выхода,Подтверждены дата выхода доступы и запрет передачи закрытых материалов,TMR-0009,Не применяется,МОП или рекрутер,Средняя,PRIVATE,CHECK,
TMD-0004,TLP-0002,TST-0003,TCP-0001,Компания роли и поддержка,Новичок понимает кто помогает на каждом этапе,Собрать карту ролей офиса по типовым вопросам,Правильно маршрутизирует юридический ипотечный и управленческий вопрос,TMR-0012; TMR-0018,Не применяется,МОП,Высокая,PUBLIC_METADATA,CHECK,
TMD-0005,TLP-0002,TST-0003,TCP-0002,Этика безопасность и работа только через компанию,Новичок распознает опасные предложения и знает порядок отказа,Пройти три ситуационных кейса,Выбирает безопасный ответ и эскалацию без обсуждения обходной сделки,TMR-0012; TMR-0011,Не применяется,МОП или руководитель,Высокая,PRIVATE,CHECK,Формулировки согласовать с действующим регламентом
TMD-0006,TLP-0002,TST-0003,TCP-0003,Первый вход в Космос,Новичок понимает основные рабочие сущности и следующий шаг,Создать безопасную тестовую запись по учебному сценарию,Запись заполнена по актуальному регламенту без реальных данных,Закрытая инструкция Космос,Создать тестовую заявку и следующий шаг,МОП,Высокая,PRIVATE,CHECK,Не публиковать скриншоты с рабочими данными
TMD-0007,TLP-0002,TST-0003,TCP-0004,Поиск ответа в базе знаний,Новичок находит ситуацию документ и владельца,Найти три ответа из первого пользовательского теста,Каждый ответ найден за 1-3 минуты и проверен статус записи,docs/first-user-test.md; docs/role-training.md,Не применяется,Ответственный за базу,Средняя,PUBLIC,CHECK,
TMD-0008,TLP-0003,TST-0004,TCP-0008,Исходящий контакт с продавцом,Новичок устанавливает контакт выявляет задачу и назначает следующий шаг,Ролевка затем рабочий звонок под сопровождением,Есть структура контакта потребность релевантная выгода и договоренность,TMR-0020; TMR-0015; TMR-0011,Создать или обновить заявку и следующий шаг,МОП или наставник,Высокая,PRIVATE,CHECK,Количество контактов берется из Космоса
TMD-0009,TLP-0003,TST-0004,TCP-0012,Входящий контакт с покупателем,Новичок квалифицирует потребность бюджет сроки и форму расчета,Ролевка затем обработка разрешенного входящего обращения,Заявка содержит достаточные вводные и договоренность,TMR-0020; TMR-0016; TMR-0011,Создать заявку и следующий шаг,МОП или наставник,Высокая,PRIVATE,CHECK,
TMD-0010,TLP-0003,TST-0004,TCP-0015,Ценность риелтора,Новичок объясняет не список услуг а полезный результат для клиента,Подготовить по одной минутной презентации продавцу и покупателю,Аргументы связаны с потребностью и не содержат ложных обещаний,TMR-0017; TMR-0015; TMR-0016,Зафиксировать результат контакта,МОП,Высокая,PRIVATE,CHECK,
TMD-0011,TLP-0003,TST-0004,TCP-0015,Подтвержденные УТП Борисоглебска,Новичок выбирает одно или два применимых УТП,Разобрать пять потребностей и подобрать доказуемый аргумент,Указывает ограничение применимости и подтверждающий вопрос,TMR-0013; TMR-0014; TMR-0015; TMR-0016,Не применяется,МОП или маркетолог,Высокая,PRIVATE,CHECK,До проверки локальных УТП не переводить в VERIFIED
TMD-0012,TLP-0003,TST-0004,TCP-0016,Базовая работа с возражением,Новичок слушает уточняет присоединяется аргументирует и проверяет,Пройти пять ролевых возражений продавца и покупателя,Не спорит не давит и не отвечает на ложную причину,TMR-0020; TMR-0015; TMR-0016,Зафиксировать следующий шаг после контакта,МОП или наставник,Высокая,PRIVATE,CHECK,
TMD-0013,TLP-0003,TST-0005,TCP-0009,Первая встреча с продавцом,Новичок выявляет мотив сроки цену и участников решения,Подготовить встречу и провести ее под наблюдением,Есть резюме ситуации договоренности документы и следующий шаг,TMR-0020; TMR-0011,Обновить заявку и задачи по клиенту,МОП или наставник,Высокая,PRIVATE,CHECK,
TMD-0014,TLP-0003,TST-0005,TCP-0010,Аналитика и первый разговор о цене,Новичок объясняет рыночный диапазон без обесценивания объекта,Подготовить учебную аналитику и провести ролевой разговор,Аргументы опираются на данные сроки и задачу собственника,TMR-0020; TMR-0011,Зафиксировать рекомендованную стратегию и контрольную точку,МОП,Высокая,PRIVATE,CHECK,Метод аналитики должен соответствовать текущим возможностям Космоса
TMD-0015,TLP-0003,TST-0005,TCP-0011,Создание качественного объекта,Новичок понимает обязательные данные медиаконтент и описание,Создать учебный или рабочий объект под проверкой,Карточка полная фотографии логичны описание ориентировано на выгоды,TMR-0020; TMR-0011,Создать объект и заполнить обязательные поля,МОП или маркетолог,Высокая,PRIVATE,CHECK,
TMD-0016,TLP-0003,TST-0005,TCP-0013,Подборка покупателю,Новичок формирует подборку по выявленной потребности,Собрать и отправить безопасную тестовую или рабочую подборку,Варианты соответствуют критериям и назначен срок обратной связи,TMR-0020; TMR-0016,Отправить подборку и поставить следующий контакт,МОП или наставник,Высокая,PRIVATE,CHECK,
TMD-0017,TLP-0003,TST-0005,TCP-0014,Подготовка и проведение показа,Новичок организует маршрут и презентует объект по потребностям,Ролевка затем совместный показ,Подписаны нужные документы получена обратная связь и согласован шаг,TMR-0020; TMR-0011,Назначить и отметить показ с результатом,МОП или наставник,Высокая,PRIVATE,CHECK,
TMD-0018,TLP-0003,TST-0005,TCP-0017,Когда подключать юриста,Новичок не решает сложный правовой вопрос самостоятельно,Разобрать пять красных флагов сделки,Формирует структурированный запрос и не обещает сроки без проверки,TMR-0011; data/drafts/situations-real-estate.csv,Создать предусмотренную задачу или передачу юристу,Юрист,Высокая,PRIVATE,CHECK,
TMD-0019,TLP-0003,TST-0005,TCP-0018,Когда подключать ипотечного специалиста,Новичок собирает базовые параметры без обещания одобрения,Разобрать три клиентских сценария и подготовить передачу,Передает достаточные вводные и согласует дальнейшую коммуникацию,TMR-0020; data/drafts/banks-mortgage.csv,Зафиксировать передачу и следующий шаг,Ипотечный специалист,Высокая,PRIVATE,CHECK,
TMD-0020,TLP-0003,TST-0005,TCP-0006,Моя первая воронка,Новичок понимает переход от контакта к сделке,Разобрать фактическую воронку недели и выбрать один слабый переход,Есть одно измеримое улучшение на следующую неделю,TMR-0020,Открыть отчет или карточки своей работы,МОП,Высокая,PRIVATE,CHECK,Не переписывать показатели вручную
TMD-0021,TLP-0004,TST-0006,TCP-0006,Диагностика слабого перехода,СПН отличает нехватку объема от проблемы качества,Разобрать одну неделю по этапам воронки,Причина подтверждена фактами и выбран один эксперимент,Индивидуальный план 2-3 месяца,Открыть данные по активности и результатам,МОП,Высокая,PRIVATE,CHECK,
TMD-0022,TLP-0004,TST-0006,TCP-0010,Системная работа с ценой,СПН ведет клиента через факты обратную связь и контрольные точки,Подготовить отчет собственнику и следующий ценовой разговор,Есть доказательства работы и согласован следующий шаг,TMR-0011; TMR-0015,Обновить цену комментарий и задачу по регламенту,МОП,Высокая,PRIVATE,CHECK,
TMD-0023,TLP-0004,TST-0006,TCP-0016,Возврат клиента без внимания,СПН восстанавливает контакт без давления и формальности,Сегментировать учебный список и провести серию повторных контактов,Есть новая квалификация решение и следующий шаг,Закрытый модуль повторного контакта,Обновить результат и следующий шаг по клиенту,МОП,Высокая,PRIVATE,CHECK,
TMD-0024,TLP-0004,TST-0006,TCP-0019,Подготовка к задатку,СПН понимает пакет документов сроки и зоны ответственности,Пройти тестовый кейс задатка,Не начинает этап без обязательной передачи и проверки,TMR-0011; TMR-0020,Создать предусмотренную заявку или задачу,Юрист и МОП,Высокая,PRIVATE,CHECK,
TMD-0025,TLP-0004,TST-0006,TCP-0020,Сделка и постобслуживание,СПН управляет коммуникацией до и после результата,Составить маршрут реального или тестового кейса,Клиент понимает этапы расходы документы и контакт после сделки,TMR-0011; TMR-0020,Фиксировать этапы задачи и итог сделки,Юрист или МОП,Высокая,PRIVATE,CHECK,
TMD-0026,TLP-0005,TST-0007,TCP-0021,Новостройки без переобещаний,СПН сравнивает проекты и сообщает только подтвержденные условия,Подготовить подборку с источниками и датой проверки,Нет неподтвержденных цен сроков скидок и гарантий,TMR-0013; data/drafts/new-buildings.csv,Создать подборку и следующий шаг,Ответственный за новостройки,Высокая,PRIVATE,CHECK,
TMD-0027,TLP-0005,TST-0007,TCP-0022,Базовый разбор загородного объекта,СПН видит различия между домом участком и квартирой,Разобрать документы коммуникации границы состояние и ликвидность,TMR-0011; data/drafts/situations-real-estate.csv,Создать или проверить карточку объекта,Юрист или опытный СПН,Средняя,PRIVATE,CHECK,
TMD-0028,TLP-0005,TST-0007,TCP-0023,Межрегиональный клиентский маршрут,СПН понимает разделение ролей городов и коммуникацию,Разобрать один безопасный кейс передачи клиента,Правильно определены роли условия следующий контакт и владелец,TMR-0013; TMR-0011,Создать обращение по действующему процессу,МОП или ответственный за направление,Средняя,PRIVATE,CHECK,
TMD-0029,TLP-0005,TST-0007,TCP-0024,Собственный источник клиентов,СПН развивает один устойчивый канал без хаотичного распыления,Собрать четырехнедельный план канала и выпустить полезный материал,Есть целевая аудитория регулярность следующий шаг и способ оценки,TMR-0002; закрытый маркетинг-план,Фактические обращения учитывать только в Космосе,МОП или маркетолог,Средняя,PRIVATE,CHECK,
TMD-0030,TLP-0006,TST-0008,TCP-0025,Антикризисный цикл опытного СПН,СПН превращает спад в управляемый двухнедельный план,Определить причину спада поддержку и минимальные действия,Есть контрольные точки и критерий выхода из кризиса,Методичка СПН 6+,Проверить фактическую воронку и задачи,МОП,Средняя,PRIVATE,CHECK,
TMD-0031,TLP-0006,TST-0008,TCP-0024,Экспертная траектория,Опытный СПН выбирает тему и создает повторяемый профессиональный актив,Подготовить кейс статью мини-обучение или локальный обзор,Материал полезен клиенту или команде и не раскрывает закрытые данные,TMR-0002; закрытая методичка 6+,Фактические обращения учитывать в Космосе,МОП или руководитель,Средняя,PRIVATE,CHECK,
TMD-0032,TLP-0007,TST-0009,TCP-0026,Пробное наставничество,Кандидат в наставники развивает самостоятельность новичка,Провести наблюдение практику и обратную связь,Новичок сам выполняет действие а наставник фиксирует один следующий шаг,Закрытая методичка наставника,Проверить действие подопечного в Космосе,МОП,Высокая,PRIVATE,CHECK,
TMD-0033,TLP-0008,TST-0010,TCP-0027,Калибровка обучения,МОП и руководитель одинаково понимают критерии допуска и качества,Разобрать три спорных кейса и обновить решения,Критерии едины изменения имеют уровень владельца и срок,docs/training-system-architecture.md,Использовать агрегированные факты без клиентских данных,Руководитель,Высокая,PRIVATE,CHECK,
TMD-0034,TLP-0009,TST-0011,TCP-0001,Stay-встреча 30 60 90,Менеджер выявляет разрыв ожиданий до ухода сотрудника,Провести короткую встречу по мотиваторам препятствиям и поддержке,Есть одно решение владелец срок и дата следующего контакта,TMR-0006; TMR-0003,Не хранить чувствительные ответы в Космосе,МОП или руководитель,Средняя,PRIVATE,CHECK,
